anio,conglome,vivienda,hogar,codperso,p207,p207_label,p208a,p301a,p301a_label,p301a1,p301a1_label,p505r4,p505r4_label,txt505,txt505b,p506r4,p506r4_label,txt506,p507,p507_label,p510,p510_label,txt505_clean,txt505b_clean,txt506_clean,texto_final,texto_concatenado,label_id,predicted_label,true_label,confidence
2022,019538,321,11,02,2,mujer,43,5.0,secundaria incompleta,,,9212,peones de jardinería y horticultura,PEON DE OBRA PUBLICA,PINTAR FACHADA FRENTERA DE INSTITUCION EDUCATIVA,8411,actividades de la administración pública en general,MUNICIPALIDAD DISTRITAL,4.0,obrero,2.0,administración pública,peón de obra publica,pintar fachada frontera de institución educativa,municipalidad distrital,peón de obra publica pintar fachada frontera de institución educativa municipalidad distrital,"peón de obra publica pintar fachada frontera de institución educativa municipalidad distrital , edad: 43 años , educación: secundaria incompleta , desempeño: obrero",320.0,9312,9212,0.9981026
2024,019175,056,11,03,1,hombre,29,8.0,superior no universitaria completa,441095.0,computacion e informatica,3511,técnicos en operaciones de tecnología de la información y las comunicaciones,TECNICO INFORMATICO,GENERAR ALMACENAR PROCESAR TRASMITIR INFORMACION Y REALIZAR DOCUMENTO,6201,actividades de programación informática,SERVICIO DE TECNOLOGIA INFORMATICA Y COMUNICACION,3.0,empleado,6.0,empresa o patrono privado,tecnico informatico,generar almacenar procesar trasmitir informacion y realizar documento,servicio de tecnologia informatica y comunicacion,tecnico informatico generar almacenar procesar trasmitir informacion y realizar documento servicio de tecnologia informatica y comunicacion,"tecnico informatico generar almacenar procesar trasmitir informacion y realizar documento servicio de tecnologia informatica y comunicacion , edad: 29 años , educación: superior no universitaria completa , desempeño: empleado",151.0,3513,3511,0.553083
2021,020113,006,11,02,2,mujer,46,3.0,primaria incompleta,,,7391,"trabajadores especializados en la elaboración de productos de hule, caucho, plásticos y afines",CONFECCIONADORA VENDEDORA DE PULCERAS COLLARES LAMPARAS,CONFECCIONAR VENDER PULCERAS COLLARES,3212,fabricación de joyas de imitación y artículos conexos,CONFECCION VENTA DE PULSERAS COLLARES LAMPARAS EN LA PLAYA,2.0,trabajador independiente,,<NA>,confeccionadora vendedora de pulceras collares lamparas,confeccionar vender pulceras collares,confección venta de pulseras collares lamparas en la playa,confeccionadora vendedora de pulceras collares lamparas confeccionar vender pulceras collares confección venta de pulseras collares lamparas en la playa,"confeccionadora vendedora de pulceras collares lamparas confeccionar vender pulceras collares confección venta de pulseras collares lamparas en la playa , edad: 46 años , educación: primaria incompleta , desempeño: trabajador independiente",267.0,7399,7391,0.94584197
2020,015017,096,11,02,2,mujer,40,7.0,superior no universitaria incompleta,,,5329,otros trabajadores en el cuidado de personas en servicios de salud,ENFERMERO TECNICO,ESTERILIZAR MATERIAL QUIRÚRGICO,8610,actividades de hospitales,HOSPITAL MINSA,3.0,empleado,2.0,administración pública,enfermero tecnico,esterilizar material quirúrgico,hospital minsa,enfermero tecnico esterilizar material quirúrgico hospital minsa,"enfermero tecnico esterilizar material quirúrgico hospital minsa , edad: 40 años , educación: superior no universitaria incompleta , desempeño: empleado",207.0,3221,5329,0.99699056
2020,015035,136,11,01,2,mujer,58,3.0,primaria incompleta,,,5120,cocineros,PREPARADORA VENDEDORA DE COMIDA,COMPRAR PRODUCTO PREPARAR COMIDA SERVIR PLATO VENDER DAR VUELTO A CLIE,5610,restaurantes y servicios móviles de alimentación,PREPARACION VENTA DE COMIDA AMBULANTE,2.0,trabajador independiente,,<NA>,preparadora vendedora de comida,comprar producto preparar comida servir plato vender dar vuelto a clin,preparación venta de comida ambulante,preparadora vendedora de comida comprar producto preparar comida servir plato vender dar vuelto a clin preparación venta de comida ambulante,"preparadora vendedora de comida comprar producto preparar comida servir plato vender dar vuelto a clin preparación venta de comida ambulante , edad: 58 años , educación: primaria incompleta , desempeño: trabajador independiente",187.0,9411,5120,0.9788479
2024,016566,240,11,03,2,mujer,17,5.0,secundaria incompleta,,,9629,otras ocupaciones elementales,AYUDANTE PREPARADORA Y VENDEDORA DE MACA DESAYUNO,OFRECER AL CLIENTE VENDER ATENDER COBRAR,5610,restaurantes y servicios móviles de alimentación,PREPARACION Y VENTA AMBULATORIA DE MACA SOYA EN VIA PUBLICA,4.0,obrero,6.0,empresa o patrono privado,ayudante preparadora y vendedora de maca desayuno,ofrecer al cliente vender atender cobrar,preparación y venta ambulatoria de maca soya en via publica,ayudante preparadora y vendedora de maca desayuno ofrecer al cliente vender atender cobrar preparación y venta ambulatoria de maca soya en via publica,"ayudante preparadora y vendedora de maca desayuno ofrecer al cliente vender atender cobrar preparación y venta ambulatoria de maca soya en via publica , edad: 17 años , educación: secundaria incompleta , desempeño: obrero",356.0,9412,9629,0.97031015
2020,007312,066,11,01,1,hombre,44,10.0,superior universitaria completa,341026.0,economia,3314,técnicos en administración,ADMINISTRADOR,VENDER PRODUCTOS DE LIMPIEZA,4663,"venta al por mayor de materiales de construc., artículos de ferretería y equipo y materiales de fontanería y calefacción",COMERCIALIZACIÓN POR MAYOR DE PRODUCTOS DE LIMPIEZA,3.0,empleado,6.0,empresa o patrono privado,administrador,vender productos de limpieza,comercialización por mayor de productos de limpieza,administrador vender productos de limpieza comercialización por mayor de productos de limpieza,"administrador vender productos de limpieza comercialización por mayor de productos de limpieza , edad: 44 años , educación: superior universitaria completa , desempeño: empleado",129.0,2421,3314,0.63804924
2020,005191,130,13,02,1,hombre,45,6.0,secundaria completa,,,5213,vendedores en kiosco fijo y puestos de mercado,VENDEDOR DE RADIO PARLANTE AUDIFONO CABLE USB CARGADOR DE CELULAR,VENDER COBRAR,4789,venta al por menor de otros productos en puestos de venta y mercados,VENTA POR MENOR DE RADIO PARLANTES AUDIFONO CABLE USB CARGADOR DE CELU,2.0,trabajador independiente,,<NA>,vendedor de radio parlante audifono cable usb cargador de celular,vender cobrar,venta por menor de radio parlantes audifono cable usb cargador de celu,vendedor de radio parlante audifono cable usb cargador de celular vender cobrar venta por menor de radio parlantes audifono cable usb cargador de celu,"vendedor de radio parlante audifono cable usb cargador de celular vender cobrar venta por menor de radio parlantes audifono cable usb cargador de celu , edad: 45 años , educación: secundaria completa , desempeño: trabajador independiente",194.0,5212,5213,0.82873595
2021,016702,077,11,01,2,mujer,44,3.0,primaria incompleta,,,7351,tejedores a mano y en telares,TEJEDORA DE MANTA SAXA A CALLHUA,TEJER MANTA SAXA,1392,"fabricación de artículos confeccionados con textiles, excepto prendas de vestir",CONFECCION DE MANTA SAXA A CALLHUA  EN SU VIVIENDA,2.0,trabajador independiente,,<NA>,tejedora de manta sala a callhua,tejer manta sala,confección de manta sala a callhua en su vivienda,tejedora de manta sala a callhua tejer manta sala confección de manta sala a callhua en su vivienda,"tejedora de manta sala a callhua tejer manta sala confección de manta sala a callhua en su vivienda , edad: 44 años , educación: primaria incompleta , desempeño: trabajador independiente",259.0,7355,7351,0.9600486
2021,016179,088,11,02,1,hombre,29,10.0,superior universitaria completa,524026.0,ingeniería electrica,4110,jefes de empleados administrativos,SUPERVISOR,SUPERVISAR PERSONAL,4321,instalación eléctrica,SERVICIOS DE MONTAJE Y MANTENIMIENTO DE BAJA Y MEDIA TENSI?N,3.0,empleado,6.0,empresa o patrono privado,supervisor,supervisar personal,servicios de montaje y mantenimiento de baja y media tensi?n,supervisor supervisar personal servicios de montaje y mantenimiento de baja y media tensi?n,"supervisor supervisar personal servicios de montaje y mantenimiento de baja y media tensi?n , edad: 29 años , educación: superior universitaria completa , desempeño: empleado",158.0,3124,4110,0.8444868
2021,015552,002,11,02,2,mujer,53,6.0,secundaria completa,,,9629,otras ocupaciones elementales,ELABORADORA DE PLANOS SANITARIOS,ELABORAR PLANOS SANITARIOS,9609,otras actividades de servicios  personales n.c.p.,SERVICIO DE ELABORACION DE PLANOS SANITARIOS DENTRO DE LAS HABITACIONE,2.0,trabajador independiente,,<NA>,elaboradora de planos sanitarios,elaborar planos sanitarios,servicio de elaboracion de planos sanitarios dentro de las habitacione,elaboradora de planos sanitarios elaborar planos sanitarios servicio de elaboracion de planos sanitarios dentro de las habitacione,"elaboradora de planos sanitarios elaborar planos sanitarios servicio de elaboracion de planos sanitarios dentro de las habitacione , edad: 53 años , educación: secundaria completa , desempeño: trabajador independiente",356.0,3118,9629,0.9226675
2021,007190,033,11,03,1,hombre,31,9.0,superior universitaria incompleta,712046.0,nutricion,3259,otros profesionales técnicos de la salud,TECNICO NUTRICIONISTA,ORIENTAR REALIZAR PLANES DE DIETA,8620,actividades de médicos y odontólogos,SERVICIO ASESORAMIENTO PLANES DE DIETA ONLINE,2.0,trabajador independiente,,<NA>,tecnico nutricionista,orientar realizar planes de dieta,servicio asesoramiento planes de dieta online,tecnico nutricionista orientar realizar planes de dieta servicio asesoramiento planes de dieta online,"tecnico nutricionista orientar realizar planes de dieta servicio asesoramiento planes de dieta online , edad: 31 años , educación: superior universitaria incompleta , desempeño: trabajador independiente",127.0,2255,3259,0.395554
2022,015545,049,11,01,1,hombre,26,8.0,superior no universitaria completa,524035.0,electrotecnia industrial,7234,mecánicos y reparadores de máquinas agrícolas e industriales,MECANICO SOLDADOR,DAR MANTENIMIENTO A PLANTA CONCENTRADORA,4290,construcción de otros proyectos de ingeniería civil,SERVICIO DE CONSTRUCCION MANTENIMIENTO DE PLANTA CONCENTRADORA,4.0,obrero,6.0,empresa o patrono privado,mecanico soldador,dar mantenimiento a planta concentradora,servicio de construccion mantenimiento de planta concentradora,mecanico soldador dar mantenimiento a planta concentradora servicio de construccion mantenimiento de planta concentradora,"mecanico soldador dar mantenimiento a planta concentradora servicio de construccion mantenimiento de planta concentradora , edad: 26 años , educación: superior no universitaria completa , desempeño: obrero",247.0,7212,7234,0.8502475
